HEI name,Type,Region,Funding
Evangelische Hochschule Ludwigsburg in Reutlingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
"Kath. Hochschule Freiburg i.Br., Campus Freiburg (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
"Kath. Hochschule Freiburg i.Br., Campus Stuttgart (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich
Ostbayerische Technische Hochschule Amberg-Weiden (FH) in Amberg,Fachhochschulen (ohne VerwFH),Bayern,Land
Ostbayerische Technische Hochschule Amberg-Weiden (FH) in Weiden,Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Ansbach in Ansbach (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Ansbach in Rothenburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Ansbach in Weißenburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
TH Aschaffenburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Augsburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Coburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Deggendorf (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Deggendorf in Deggendorf (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Deggendorf im Landkreis Rottal-Inn (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Deggendorf in Cham (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Hof in Hof (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Hof in Münchberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Ingolstadt in Ingolstadt (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Ingolstadt in Neuburg a. d. Donau (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Kempten (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Landshut (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften München (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Hochschule für angewandte Wissenschaften Neu-Ulm (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Technische Hochschule Nürnberg Georg Simon Ohm (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Ostbayerische Technische Hochschule Regensburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
Mediadesign Hochschule Berlin in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
IB Hochschule für Gesundheit und Soziales Berlin in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
TH Rosenheim in Rosenheim (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
TH Rosenheim in Mühldorf a. Inn (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
TH Rosenheim in Burghausen (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
H für angewandte Wissenschaften Weihenstephan-Triesdorf (FH) in Triesdorf,Fachhochschulen (ohne VerwFH),Bayern,Land
H für angewandte Wissenschaften Weihenstephan-Triesdorf (FH) in Weihenstephan,Fachhochschulen (ohne VerwFH),Bayern,Land
H für angewandte Wissenschaften Weihenstephan-Triesdorf (FH) in Straubing,Fachhochschulen (ohne VerwFH),Bayern,Land
H für angewandte Wissenschaften Würzburg-Schweinfurt in Schweinfurt (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
H für angewandte Wissenschaften Würzburg-Schweinfurt in Würzburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land
FH des Mittelstandes (FHM) in Bamberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
H für Ökonomie und Management Essen in Augsburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
H für Ökonomie und Management Essen in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
H für Ökonomie und Management Essen in Nürnberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
Hochschule Fresenius Idstein in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
"Hochschule für angewandtes Management, Ismaning (FH)",Fachhochschulen (ohne VerwFH),Bayern,Privat
Internationale Hochschule SDI München-Hochschule für angewandte Wissenschaften (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus München (FH)",Fachhochschulen (ohne VerwFH),Bayern,Privat
Munich Business School München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
"SRH Wilhelm Löhe Hochschule, Fürth (FH)",Fachhochschulen (ohne VerwFH),Bayern,Privat
Deutsche Hochschule für Gesundheit und Sport Berlin in Ismaning (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
HSD Hochschule Döpfer Köln in Regensburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
Evang. Hochschule Nürnberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Kirchlich
Katholische Stiftungshochschule München in Benediktbeuern (FH),Fachhochschulen (ohne VerwFH),Bayern,Kirchlich
Katholische Stiftungshochschule München in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Kirchlich
IU Internationale Hochschule Erfurt in Bad Reichenhall (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
IU Internationale Hochschule Erfurt in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
IU Internationale Hochschule Erfurt in Nürnberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
International School of Management Dortmund in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat
Alice Salomon Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Land
Berliner Hochschule für Technik (FH),Fachhochschulen (ohne VerwFH),Berlin,Land
H für Technik und Wirtschaft Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Land
"HWR Berlin, Fachbereich Wirtschaft (FH)",Fachhochschulen (ohne VerwFH),Berlin,Land
"HWR Berlin, Fachbereich  Duales Studium (FH)",Fachhochschulen (ohne VerwFH),Berlin,Land
"HWR Berlin, Fachbereich Verwaltung, Recht, Polizei (FH)",Fachhochschulen (ohne VerwFH),Berlin,Land
Touro College Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
BSP Business and Law School - Hochschule für Management und Recht Berlin in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
bbw Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Akkon Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Berlin (FH)",Fachhochschulen (ohne VerwFH),Berlin,Privat
"Medical School Berlin, H für Gesundheit und Medizin (FH)",Fachhochschulen (ohne VerwFH),Berlin,Privat
Digital Business University Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
IB Hochschule für Gesundheit und Soziales Berlin in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
"H für Medien, Kommunikation und Wirtschaft Berlin in Berlin (FH)",Fachhochschulen (ohne VerwFH),Berlin,Privat
EBC Euro Business College Hamburg Campus Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
H für Ökonomie und Management Essen in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Deutsche Hochschule für Gesundheit und Sport Berlin in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Mediadesign Hochschule Berlin in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
FH des Mittelstandes (FHM) in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
SRH Berlin University of Applied Sciences in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
CODE University of Applied Sciences Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
International School of Management Dortmund in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Hochschule für angewandte Pädagogik Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
VICTORIA - Internationale Hochschule Berlin in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Berlin International University of Applied Sciences (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
DEKRA Hochschule für Medien Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Quadriga Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Hochschule Fresenius Idstein in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Evangelische Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Kirchlich
University of Europe for Applied Sciences Potsdam in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
IU Internationale Hochschule Erfurt in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat
Katholische Hochschule für Sozialwesen Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Kirchlich
Technische Hochschule Brandenburg (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Land
Hochschule für nachhaltige Entwicklung Eberswalde (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Land
FH Potsdam,Fachhochschulen (ohne VerwFH),Brandenburg,Land
Fachhochschule für Sport und Management Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat
Technische Hochschule Wildau (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Land
Theologische Hochschule Elstal (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Kirchlich
Fachhochschule Clara Hoffbauer Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat
University of Europe for Applied Sciences Potsdam in Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat
XU Exponential University Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat
GISMA Business School Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat
H Bremen (FH),Fachhochschulen (ohne VerwFH),Bremen,Land
H Bremerhaven (FH),Fachhochschulen (ohne VerwFH),Bremen,Land
APOLLON H der Gesundheitswirtschaft Bremen (FH),Fachhochschulen (ohne VerwFH),Bremen,Privat
Internationale Hochschule Erfurt in Bremen (FH),Fachhochschulen (ohne VerwFH),Bremen,Privat
H für Ökonomie und Management Essen in Bremen (FH),Fachhochschulen (ohne VerwFH),Bremen,Privat
H für Angewandte Wissenschaften Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Land
Berufliche Hochschule Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Land
Europ. Fern-H Hamburg GmbH Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
HFH Hamburger Fern-H (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
HSBA Hamburg School of Business Admin. (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
"Evang. H für Soziale Arbeit und Diakonie, Hamburg (FH)",Fachhochschulen (ohne VerwFH),Hamburg,Kirchlich
EBC Euro Business College Hamburg Campus Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
Northern Business School Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
Hochschule Fresenius Idstein in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
Brand University Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
International School of Management Dortmund in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
MSH Medical School Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
SRH Berlin University of Applied Sciences in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
H für Ökonomie und Management Essen in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
BSP Business and Law School - Hochschule für Management und Recht Berlin in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
IB Hochschule für Gesundheit und Soziales Berlin in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
University of Europe for Applied Sciences Potsdam in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Hamburg (FH)",Fachhochschulen (ohne VerwFH),Hamburg,Privat
IU Internationale Hochschule Erfurt in Hamburg (FH),Fachhochschulen (ohne VerwFH),Hamburg,Privat
h_da - H Darmstadt in Darmstadt (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
h_da - H Darmstadt in Dieburg (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
Frankfurt University of Applied Sciences (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
Hochschule Fulda (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
Technische Hochschule Mittelhessen (THM) in Friedberg (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
Technische Hochschule Mittelhessen (THM) in Gießen (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
Technische Hochschule Mittelhessen (THM) in Wetzlar (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
Hochschule RheinMain (FH) in Rüsselsheim,Fachhochschulen (ohne VerwFH),Hessen,Land
Hochschule RheinMain (FH) in Wiesbaden,Fachhochschulen (ohne VerwFH),Hessen,Land
Hochschule Geisenheim University (FH),Fachhochschulen (ohne VerwFH),Hessen,Land
"H der Deutschen Gesetzl. Unfallversicherung, Bad Hersfeld (FH)",Fachhochschulen (ohne VerwFH),Hessen,Privat
accadis Hochschule Bad Homburg (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
Wilhelm Büchner Hochschule Darmstadt (Fern-FH),Fern-Fachhochschule,Hessen,Privat
"Provadis School of Intern. Management and Technology, Frankfurt a.M. (FH)",Fachhochschulen (ohne VerwFH),Hessen,Privat
Hochschule Fresenius Idstein in Idstein (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
Hochschule Fresenius Idstein in Frankfurt (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
Hochschule Fresenius Idstein in Wiesbaden (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
UoL-University of Labour Frankfurt (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
DIPLOMA - FH Nordhessen in Bad Sooden-Allendorf (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
DIPLOMA - FH Nordhessen in Kassel (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
"H für Medien, Kommunikation und Wirtschaft Berlin in Frankfurt (FH)",Fachhochschulen (ohne VerwFH),Hessen,Privat
"Evangelische Hochschule Darmstadt (EHD), (FH)",Fachhochschulen (ohne VerwFH),Hessen,Kirchlich
Evangelische Hochschule Darmstadt (EHD) in Darmstadt (FH),Fachhochschulen (ohne VerwFH),Hessen,Kirchlich
Evangelische Hochschule Darmstadt (EHD) in Schwalmstadt (FH),Fachhochschulen (ohne VerwFH),Hessen,Kirchlich
CVJM-Hochschule Kassel (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
Promotionszentrum Soziale Arbeit,Unknown,Hessen,Land
Promotionszentrum Angewandte Informatik,Unknown,Hessen,Land
H für Ökonomie und Management Essen in Kassel (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
H für Ökonomie und Management Essen in Frankfurt (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Frankfurt a. M. (FH)",Fachhochschulen (ohne VerwFH),Hessen,Privat
International School of Management Dortmund in Frankfurt (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
IU Internationale Hochschule Erfurt in Frankfurt (FH),Fachhochschulen (ohne VerwFH),Hessen,Privat
Hochschule Neubrandenburg (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Land
Hochschule Stralsund (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Land
Hochschule Wismar (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Land
Hochschule der Bundesagentur für Arbeit in Schwerin (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Bund
FH des Mittelstandes (FHM) in Rostock (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Privat
FH des Mittelstandes (FHM) in Schwerin (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Privat
Europäische FH (EUFH) in Rostock (FH),Fachhochschulen (ohne VerwFH),Mecklenburg-Vorp.,Privat
Hochschule Braunschweig-Wolfenbüttel in Salzgitter (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Braunschweig-Wolfenbüttel in Wolfenbüttel (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule  Braunschweig-Wolfenbüttel in Wolfsburg (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Braunschweig-Wolfenbüttel in Suderburg (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Emden/Leer in Emden (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Emden/Leer in Leer (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Hannover (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
"Hochschule Weserbergland (HSW), Hameln (FH)",Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
Hochschule Hildesheim/Holzminden/Göttingen in Göttingen (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Hildesheim/Holzminden/Göttingen in Hildesheim (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Hildesheim/Holzminden/Göttingen in Holzminden (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Elsfleth (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Oldenburg (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Wilhelmshaven (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Osnabrück in Osnabrück (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
Hochschule Osnabrück in Lingen (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Land
"Hochschule21, Buxtehude (FH)",Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
FH für Interkulturelle Theologie Hermannsburg (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
Hochschule Göttingen (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
Fachhochschule für die Wirtschaft Hannover (FHDW) (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
H für Ökonomie und Management Essen in Hannover (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
FH des Mittelstandes (FHM) in Hannover (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
FH Ottersberg (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
H für Wirtschaft und Technik Vechta/Diepholz in Diepholz (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
H für Wirtschaft und Technik Vechta/Diepholz in Vechta (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
Leibniz - Fachhochschule Hannover (FH),Fachhochschulen (ohne VerwFH),Niedersachsen,Privat
FH Aachen in Aachen,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Aachen in Jülich,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Bielefeld in Bielefeld,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Bielefeld in Minden,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Bielefeld in Gütersloh,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Hochschule Bochum (FH) in Bochum,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Hochschule Bochum (FH) in Velbert/Heiligenhaus,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Hochschule für Gesundheit Bochum (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Bonn-Rhein-Sieg in Rheinbach (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Bonn-Rhein-Sieg in Sankt Augustin (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Bonn-Rhein-Sieg in Hennef (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Dortmund,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Düsseldorf (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Bocholt,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Gelsenkirchen,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Recklinghausen,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Hamm-Lippstadt in Hamm (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Hamm-Lippstadt in Lippstadt (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Technische Hochschule Köln (FH) in Gummersbach,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Technische Hochschule Köln (FH) in Köln,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
Technische Hochschule Köln (FH) in Leverkusen,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Detmold (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Höxter (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Lemgo (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Münster in Münster,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Münster in Steinfurt,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Niederrhein in Krefeld (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Niederrhein in Mönchengladbach (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Rhein-Waal in Kleve (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Rhein-Waal in Kamp-Lintfort (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Südwestfalen in Hagen,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Südwestfalen in Iserlohn,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Südwestfalen in Meschede,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
FH Südwestfalen in Soest,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Ruhr-West (FH) in Bottrop,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
H Ruhr-West (FH) in Mülheim,Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Land
IU Internationale Hochschule Erfurt in Bad Honnef (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
IU Internationale Hochschule Erfurt in Dortmund (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
IU Internationale Hochschule Erfurt in Düsseldorf (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
IB Hochschule für Gesundheit und Soziales Berlin in Köln (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
Mediadesign Hochschule Berlin in Düsseldorf (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
FH des Mittelstandes (FHM) in Bielefeld (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
FH des Mittelstandes (FHM) in Köln (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
FH des Mittelstandes (FHM) in Frechen (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
Fliedner Fachhochschule Düsseldorf (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
"Kolping H, Köln (FH)",Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
TH Georg Agricola Bochum (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
EBZ Business School Bochum (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Finanzwirtschaft & Management Bonn (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
Europäische FH (EUFH) in Brühl (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
Europäische FH (EUFH) in Neuss (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
Europäische FH (EUFH) in Köln (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
Europäische FH (EUFH) in Rheine (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
International School of Management Dortmund in Dortmund (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
International School of Management Dortmund in Köln (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
praxisHochschule Köln in Köln (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
praxisHochschule Köln in Rheine (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Arnsberg (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Aachen (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Bochum (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Bonn (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Bönen (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Dortmund (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Düsseldorf (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Duisburg (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Essen (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Gütersloh (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Hagen (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Köln (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
H für Ökonomie und Management Essen in Marl (FH),Fachhochschulen (ohne VerwFH),Nordrhein-Westfalen,Privat
