HEI name,Type,Region,Funding,URL,Comment
H für Bildende Künste Dresden (Kunst-H),Kunsthochschulen,Sachsen,Land,www.hfbk-dresden.de,x
"H für Kirchenmusik der Evang.-Luth. Landeskirche Sachsens, Dresden (Kunst-H)",Kunsthochschulen,Sachsen,Kirchlich,www.kirchenmusik-dresden.de,x
H für Musik Dresden (Kunst-H),Kunsthochschulen,Sachsen,Land,www.hfmdd.de,x
Palucca Hochschule für Tanz Dresden (Kunst-H),Kunsthochschulen,Sachsen,Land,www.palucca.eu,x
H für Graphik und Buchkunst Leipzig (Kunst-H),Kunsthochschulen,Sachsen,Land,www.hgb-leipzig.de,x
H für Musik und Theater Leipzig (Kunst-H),Kunsthochschulen,Sachsen,Land,www.hmt-leipzig.de,x
Burg Giebichenstein Kunsthochschule Halle (Kunst-H),Kunsthochschulen,Sachsen-Anhalt,Land,www.burg-halle.de,x
Evang. H für Kirchenmusik Halle (Kunst-H),Kunsthochschulen,Sachsen-Anhalt,Kirchlich,www.ehk-halle.de,x
Muthesius Kunsthochschule Kiel (Kunst-H),Kunsthochschulen,Schleswig-Holstein,Land,Www.Muthesius-kunsthochschule.de,x
Musikhochschule Lübeck (Kunst-H),Kunsthochschulen,Schleswig-Holstein,Land,www.mh-luebeck.de,x
H für Musik Weimar (Kunst-H),Kunsthochschulen,Thüringen,Land,www.hfm-weimar.de,x
Hochschule Aalen - Technik und Wirtschaft in Aalen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-aalen.de,x
H Albstadt-Sigmaringen in Albstadt (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-albsig.de,x
H Biberach a. d. Riss (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hochschule-biberach.de,x
H Esslingen in Esslingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-esslingen.de,x
H Furtwangen in Furtwangen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-furtwangen.de,x
H Heilbronn in Heilbronn (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-heilbronn.de,x
H Karlsruhe (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.h-ka.de,x
H Konstanz (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.htwg-konstanz.de,x
