id,region,name,category,url,grade,SSLv2.0,SSLv3.0,TLSv1.0,TLSv1.1,TLSv1.2,TLSv1.3,dns_caa,issuer,key_size,key_alg,signature_alg,must_staple,sct,subject,is_valid,cert_chain_trust,beast,heartbleed,poodle,freak,ccs_injection,lucky_minus20,ticket_bleed,bleichenbacher,zombie_poodle,golden_doodle,zero_length_padding_oracle,sleeping_poodle,poodle_tls
173,Baden-Württemberg,Evangelische Hochschule Ludwigsburg in Ludwigsburg (FH),Private,www.eh-ludwigsburg.de,A,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,eh-ludwigsburg.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
176,Bayern,Hochschule für angewandte Wissenschaften Ansbach in Ansbach (FH),Public,www.hs-ansbach.de,B,False,False,True,True,True,True,True,R3,2048,RSA,SHA256withRSA,False,True,hs-ansbach.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
177,Bayern,TH Aschaffenburg (FH),Public,www.th-ab.de,A,False,False,False,False,True,True,True,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,itlapmoodle01.intern.th-ab.de,True,False,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
180,Bayern,Technische Hochschule Deggendorf (FH),Public,www.th-deg.de,A+,False,False,False,False,True,True,False,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,www.th-deg.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
181,Bayern,Hochschule für angewandte Wissenschaften Hof in Hof (FH),Public,www.hof-university.de,A+,False,False,False,False,True,True,False,DFN-Verein Global Issuing CA,4096,RSA,SHA256withRSA,False,True,www.hof-university.de,True,False,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
179,Bayern,Hochschule für angewandte Wissenschaften Coburg (FH),Public,www.hs-coburg.de,A,False,False,False,False,True,True,False,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,web3.hs-coburg.de,True,False,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
178,Bayern,Hochschule für angewandte Wissenschaften Augsburg (FH),Public,www.hs-augsburg.de,B,False,False,True,True,True,True,True,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,nightcrawler.rz.hs-augsburg.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
182,Bayern,Technische Hochschule Ingolstadt in Ingolstadt (FH),Public,www.thi.de,A,False,False,False,False,True,True,True,Sectigo RSA Organization Validation Secure Server CA,2048,RSA,SHA256withRSA,False,True,www.thi.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
183,Bayern,Hochschule für angewandte Wissenschaften Kempten (FH),Public,www.hs-kempten.de,A,False,False,False,False,True,True,True,R3,2048,RSA,SHA256withRSA,False,True,www.hs-kempten.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
184,Bayern,Hochschule für angewandte Wissenschaften Landshut (FH),Public,www.haw-landshut.de,B,False,False,True,True,True,False,False,DFN-Verein Global Issuing CA,4096,RSA,SHA256withRSA,False,True,www.haw-landshut.de,True,False,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
185,Bayern,Hochschule für angewandte Wissenschaften München (FH),Public,www.hm.edu,A+,False,False,False,False,True,True,False,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,hm.edu,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
187,Bayern,Technische Hochschule Nürnberg Georg Simon Ohm (FH),Public,www.th-nuernberg.de,A+,False,False,False,False,True,True,True,DFN-Verein Global Issuing CA,4096,RSA,SHA256withRSA,False,True,www.th-nuernberg.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
186,Bayern,Hochschule für angewandte Wissenschaften Neu-Ulm (FH),Public,www.hnu.de,B,False,False,True,True,True,True,False,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,www.hnu.de,True,True,True,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
188,Bayern,Ostbayerische Technische Hochschule Regensburg (FH),Public,www.oth-regensburg.de,A,False,False,False,False,True,True,False,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,oth-regensburg.de,True,False,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
189,Bayern,TH Rosenheim in Rosenheim (FH),Public,www.th-rosenheim.de,A-,False,False,False,False,True,False,True,GEANT OV RSA CA 4,4096,RSA,SHA384withRSA,False,True,www.th-rosenheim.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
191,Bayern,HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (FH),Private,www.hdbw-hochschule.de,A+,False,False,False,False,True,True,False,Thawte TLS RSA CA G1,2048,RSA,SHA256withRSA,False,True,*.hdbw-hochschule.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
190,Bayern,H für angewandte Wissenschaften Weihenstephan-Triesdorf (FH) in Triesdorf,Public,www.hswt.de,A,False,False,False,False,True,True,False,R3,2048,RSA,SHA256withRSA,False,True,hswt.de,True,True,False,False,False,False,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable,not vulnerable
