id,region,name,category,url,dnssec_domain,dnssec_nameserver,has_dnssec,dnssec_is_valid,dnssec_algorithm
333,Hessen,Hessische Hochschule für Finanzen und Rechtspflege Rotenburg (Verw-FH),Public,studienzentrum-rotenburg.hessen.de,hessen.de,ns.s.plusline.de.,False,False,
335,Mecklenburg-Vorpommern,"FH für öffentliche Verwaltung, Polizei und Rechtspflege in Güstrow (Verw-FH)",Public,www.fh-guestrow.de,fh-guestrow.de,root-dns.netcup.net.,False,False,
334,Hessen,Hessische Hochschule für Polizei und Verwaltung Wiesbaden in Gießen (Verw-FH),Public,hoems.hessen.de,hessen.de,dns040.hessen.de.,False,False,
337,Nordrhein-Westfalen,FH für Rechtspflege NW in Bad Münstereifel (Verw-FH),Public,www.fhr.nrw.de,nrw.de,deneb.dfn.de.,False,False,
336,Niedersachsen,Norddeutsche Hochschule für Rechtspflege Hildesheim (Verw-FH),Public,www.hr-nord.niedersachsen.de,niedersachsen.de,dns4.niedersachsen.info.,False,False,
338,Nordrhein-Westfalen,Hochschule für Polizei und öffentliche Verwaltung NW in Aachen (Verw-FH),Public,www.hspv.nrw.de,nrw.de,deneb.dfn.de.,False,False,
340,Rheinland-Pfalz,"Hochschule für öffentliche Verwaltung Rheinland-Pfalz (HöV) Mayen, FB Innere Verwaltung in Mayen",Public,hoev-rlp.de,hoev-rlp.de,ns1094.ui-dns.biz.,False,False,
339,Rheinland-Pfalz,Hochschule für Finanzen Rheinland-Pfalz (HFin) in Edenkoben (Verw-FH),Public,landesfinanzschule-edenkoben.fin-rlp.de,fin-rlp.de,ns-a.ktk.de.,False,False,
341,Sachsen-Anhalt,"FH Polizei Sachsen-Anhalt, Aschersleben (Verw-FH)",Public,fh-polizei.sachsen-anhalt.de,sachsen-anhalt.de,lsa-st1414.sachsen-anhalt.de.,False,False,
342,Schleswig-Holstein,FH für Verwaltung und Dienstleistung Altenholz in Altenholz (Verw-FH),Public,www.fhvd-sh.de,fhvd-sh.de,ns5.kasserver.com.,False,False,
343,Thüringen,Thüringer FH für öffentliche Verwaltung Gotha (Verw-FH),Public,bildungszentrum.thueringen.de,thueringen.de,thldns003.toringi.net.,False,False,
344,Berlin,Touro College Berlin (FH),Private,www.touroberlin.de,touroberlin.de,ns2.jweiland.net.,False,False,
345,Berlin,Hertie School of Governance Berlin (U),Private,www.hertie-school.org,hertie-school.org,ns.udag.org.,False,False,
346,Berlin,Steinbeis-H Berlin (U),Private,www.steinbeis-hochschule.de,steinbeis-hochschule.de,ns.ludwigsburg.net.,False,False,
347,Hamburg,H für Musik und Theater Hamburg (Kunst-H),Public,www.hfmt-hamburg.de,hfmt-hamburg.de,authdns1.rz.tuhh.de.,True,True,RSASHA256
350,Baden-Württemberg,Wissenschaftliche H Bierbronnen (U),Private,www.siewerth-akademie.de,siewerth-akademie.de,ns2.ns-serve.net.,False,False,
348,Sachsen-Anhalt,H Harz in Halberstadt (FH),Public,www.hs-harz.de,hs-harz.de,star.hs-harz.de.,False,False,
349,Baden-Württemberg,U Mannheim,Public,www.uni-mannheim.de,uni-mannheim.de,dns3.uni-mannheim.de.,True,True,ECDSAP384SHA384
351,Bayern,Technische Universität Nürnberg,Public,www.utn.de,utn.de,ns1.rrze.uni-erlangen.de.,False,False,
352,Berlin,Charité - Universitätsmedizin Berlin,Public,www.charite.de,charite.de,dns-3.dfn.de.,False,False,
354,Rheinland-Pfalz,Theol. H Vallendar (Theol. H),Private,www.pthv.de,pthv.de,ns1115.ui-dns.com.,False,False,
355,Hessen,"H der Deutschen Gesetzl. Unfallversicherung, Bad Hersfeld (FH)",Private,www.dguv.de,dguv.de,pns.dtag.de.,False,False,
353,Berlin,German International University Berlin (U),Private,www.giu-berlin.de,giu-berlin.de,ns.checkdomain.de.,False,False,
356,Hessen,Promotionszentrum Soziale Arbeit,Public,www.promotionszentrum-soziale-arbeit.de,promotionszentrum-soziale-arbeit.de,cardassia.itda.h-da.de.,False,False,
358,Sachsen,Hochschule für Telekommunikation Leipzig (FH),Private,www.hft-leipzig.de,hft-leipzig.de,ns1.telekom.net.,False,False,
359,Sachsen,SRH Berlin University of Applied Sciences in Dresden (FH),Private,www.srh-campus-dresden.de,srh-campus-dresden.de,c.regfish-ns.net.,False,False,
357,Hessen,Promotionszentrum Angewandte Informatik,Public,pzai.de,pzai.de,sylt.itda.h-da.de.,False,False,
360,Hamburg,Berufsakademie Hamburg (BA),Private,www.ba-hamburg.de,ba-hamburg.de,ns.udag.de.,False,False,
361,Hamburg,"Berufsakademie Nord GmbH, University of Cooperative Education Hamburg (BA)",Private,Studieren-ba-nord.de,Studieren-ba-nord.de,docks17.rzone.de.,False,False,
362,Hessen,Akademie für Tonkunst Darmstadt,Public,www.akademie-fuer-tonkunst.de,akademie-fuer-tonkunst.de,ns13.domaincontrol.com.,False,False,
363,Hessen,Berufsakademie Rhein-Main Rödermark (BA),Private,studenten.ba-rm.de,ba-rm.de,ns81.domaincontrol.com.,False,False,
365,Hessen,Deutsche Berufsakademie Sport und Gesundheit (dba) in Baunatal (BA),Private,www.dba-baunatal.de,dba-baunatal.de,ns1116.ui-dns.de.,False,False,
366,Hessen,Dr. Hoch's Konservatorium - Musikakademie Frankfurt am Main,Public,www.dr-hochs.de,dr-hochs.de,ns1114.ui-dns.de.,False,False,
364,Hessen,Brüder-Grimm-Berufsakademie Hanau (BA),Private,www.bg-ba.de,bg-ba.de,dns1.aspiria.de.,False,False,
